Ref number	reference	citations	survey	pipeline	type	comment
245	"David Madras, Elliot Creager, Toniann Pitassi, and Richard Zemel. 2019. Fairness through causal awareness: Learning causal latent-variable models for biased data. In Proceedings of the Conference on Fairness, Accountability, and Transparency. 349–358"	174	hort	in-processing	adjusted	latent_groupmembership
246	"David Madras, Toni Pitassi, and Richard Zemel. 2018. Predict responsibly: Improving fairness and accuracy by learning to defer. Adv. Neural Inf. Process. Syst. 31 (2018)."	246	hort	in-processing	adjusted	rejection_learning
247	Gaurav Maheshwari and Michaël Perrot. 2022. FairGrad: Fairness aware gradient descent. arXiv preprint arXiv:2206.10923 (2022).	17	hort	in-processing	adjusted	
248	"ubha Maity, Debarghya Mukherjee, Mikhail Yurochkin, and Yuekai Sun. 2020. There is no trade-off: Enforcing fairness can improve accuracy. arXiv preprint arXiv:2011.03173 (2020)"	11	hort	in-processing	constraints	
249	"Debmalya Mandal, Samuel Deng, Suman Jana, Jeannette Wing, and Daniel J. Hsu. 2020. Ensuring fairness beyond the training data. Adv. Neural Inf. Process. Syst. 33 (2020), 18445–18456."	64	hort	in-processing	adjusted	
250	"Ricards Marcinkevics, Ece Ozkan, and Julia E. Vogt. 2022. Debiasing deep chest x-ray classifiers using intra- and post-processing methods. In Proceedings of the Machine Learning for Healthcare Conference. PMLR."	28	hort	post-processing	classifier	nn
251	"William Martin, Federica Sarro, Yue Jia, Yuanyuan Zhang, and Mark Harman. 2016. A survey of app store analysis for software engineering. IEEE Trans. Softw. Eng. 43, 9 (2016), 817–847."	558	hort			
252	"Natalia Martinez, Martin Bertran, and Guillermo Sapiro. 2020. Minimax Pareto fairness: A multi objective perspective. In Proceedings of the International Conference on Machine Learning. PMLR, 6755–6764."	230	hort	in-processing	adjusted	ap_star
253	"Jérémie Mary, Clément Calauzenes, and Noureddine El Karoui. 2019. Fairness-aware learning for continuous attributes and treatments. In Proceedings of the International Conference on Machine Learning. PMLR, 4382–4391."	139	hort	in-processing	regularisation	
254	"Daniel McNamara, Cheng Soon Ong, and Robert C. Williamson. 2017. Provably fair representations. arXiv preprint arXiv:1710.04394(2017)."	62	hort	pre-processing	representation	optimisation
255	"Ninareh Mehrabi, Umang Gupta, Fred Morstatter, Greg Ver Steeg, and Aram Galstyan. 2022. Attributing fair decisions with attention interventions. In Proceedings of the 2nd Workshop on Trustworthy Natural Language Processing (TrustNLP’22). Association for Computational Linguistics, 12–25. DOI:"	32	hort	post-processing	classifier	nn
256	"Ninareh Mehrabi, Fred Morstatter, Nripsuta Saxena, Kristina Lerman, and Aram Galstyan. 2021. A survey on bias and fairness in machine learning. ACM Comput. Surv. 54, 6 (2021), 1–35."	5057	hort			
257	"Aditya Krishna Menon and Robert C. Williamson. 2018. The cost of fairness in binary classification. In Proceedings of the Conference on Fairness, Accountability and Transparency. PMLR, 107–118."	507	hort	post-processing	output	plugin
258	Alan Mishler and Edward Kennedy. 2021. FADE: FAir double ensemble learning for observable and counterfactual outcomes. arXiv preprint arXiv:2109.00173 (2021).	22	hort	post-processing	classifier	pareto
259	"Alan Mishler, Edward H. Kennedy, and Alexandra Chouldechova. 2021. Fairness in risk assessment instruments: Post-processing to achieve counterfactual equalized odds. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency (FAccT’21). Association for Computing Machinery, New York, NY, 386400. DOI:"	84	hort	post-processing	classifier	equal_odds
260	"Kiarash Mohammadi, Aishwarya Sivaraman, and Golnoosh Farnadi. 2022. FETA: Fairness enforced verifying, training, and predicting algorithms for neural networks. arXiv preprint arXiv:2206.00553 (2022)."	6	hort	post-processing	output	
261	Wellington Rodrigo Monteiro and Gilberto Reynoso-Meza. [n.d.]. Proposal of a fair voting classifier using multi-objective optimization. 	2	hort	in-processing		ensemble
262	Wellington Rodrigo Monteiro and Gilberto Reynoso-Meza. 2021. Proposal of a Fair Voting Classifier Using Multi-Objective Optimization.	2	hort	in-processing	compositionnal	
263	Alice Morano. 2020. Bias Mitigation for Automated Decision Making Systems. Ph. D. Dissertation. Politecnico di Torino	5	hort	pre-processing	sampling	smote_like
264	"Giulio Morina, Viktoriia Oliinyk, Julian Waton, Ines Marusic, and Konstantinos Georgatzis. 2019. Auditing and achieving intersectional fairness in classification problems. arXiv preprint arXiv:1911.01468 (2019)."	40	hort	post-processing	classifier	equal_odds
265	"Sérgio Moro, Paulo Cortez, and Paulo Rita. 2014. A data-driven approach to predict the success of bank telemarketing. Decis. Supp. Syst. 62 (2014), 22–31"	1171	hort			
266	"Daniel Moyer, Shuyang Gao, Rob Brekelmans, Greg Ver Steeg, and Aram Galstyan. 2018. Invariant representations without adversarial training. In Proceedings of the 32nd International Conference on Neural Information Processing Systems. 9102–9111."	246	hort	pre-processing	representation	optimisation
267	"Razieh Nabi, Daniel Malinsky, and Ilya Shpitser. 2019. Learning optimal fair policies. In Proceedings of the International Conference on Machine Learning. PMLR, 4674–4682"	114	hort	in-processing	constraints	
268	"Razieh Nabi and Ilya Shpitser. 2018. Fair inference on outcomes. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 32."	413	hort	in-processing	constraints	
269	"Harikrishna Narasimhan. 2018. Learning with complex loss functions and constraints. In Proceedings of the International Conference on Artificial Intelligence and Statistics. PMLR, 1646–1654"	111	hort	in-processing	constraints	
270	"Dang Nguyen, Sunil Gupta, Santu Rana, Alistair Shilton, and Svetha Venkatesh. 2021. Fairness improvement for black-box classifiers with Gaussian process. Inf. Sci. 576 (2021), 542–556"	18	hort	post-processing	output	
271	"Alejandro Noriega-Campero, Michiel A. Bakker, Bernardo Garcia-Bulle, and Alex “Sandy” Pentland. 2019. Active fairness in algorithmic decision making. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 77–83"	107	hort	post-processing	classifier	split_clf
272	"Ziad Obermeyer, Brian Powers, Christine Vogeli, and Sendhil Mullainathan. 2019. Dissecting racial bias in an algorithm used to manage the health of populations. Science 366, 6464 (2019), 447–453"	4440	hort			
273	"Changdae Oh, Heeji Won, Junhyuk So, Taero Kim, Yewon Kim, Hosik Choi, and Kyungwoo Song. 2022. Learning fair representation via distributional contrastive disentanglement. arXiv preprint arXiv:2206.08743 (2022)."	22	hort	pre-processing	representation	vaes
274	"Mahbod Olfat and Anil Aswani. 2018. Spectral algorithms for computing fair support vector machines. In Proceedings of the International Conference on Artificial Intelligence and Statistics. PMLR, 1933–1942"	36	hort	in-processing	constraints	
275	"Luca Oneto, Michele Donini, and Massimiliano Pontil. 2020. General fair empirical risk minimization. In Proceedings of the International Joint Conference on Neural Networks (IJCNN’20). IEEE, 1–8."	55	hort	in-processing	constraints	
276	"Luca Oneto, Michele Doninini, Amon Elders, and Massimiliano Pontil. 2019. Taking advantage of multitask learning for fair classification. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 227–"	83	hort	in-processing	compositionnal	different_clf
277	"Mustafa Safa Ozdayi, Murat Kantarcioglu, and Rishabh Iyer. 2021. BiFair: Training fair models with bilevel optimization. arXiv preprint arXiv:2106.04757 (2021"	8	hort	in-processing	adjusted	
278	Manisha Padala and Sujit Gujar. 2020. FNNC: Achieving fairness through neural networks. In Proceedings of the 29th International Joint Conference on Artificial Intelligence (IJCAI’20). International Joint Conferences on Artificial Intelligence Organization	72	hort	in-processing	constraints	
279	"Kirtan Padh, Diego Antognini, Emma Lejal-Glaude, Boi Faltings, and Claudiu Musat. 2021. Addressing fairness in classification with a model-agnostic multi-objective algorithm. In Uncertainty in Artificial Intelligence. PMLR, 600–609."	33	hort	in-processing	constraints	intersectional
280	"Saerom Park, Junyoung Byun, and Joohee Lee. 2022. Privacy-preserving fair learning of support vector machine with homomorphic encryption. In Proceedings of the ACM Web Conference (WWW’22). Association for Computing Machinery, New York, NY, 35723583. DOI"	23	hort	in-processing	adjusted	
281	"Pranita Patil and Kevin Purcell. 2022. Decorrelation-based deep learning for bias mitigation. Fut. Internet 14, 4 (2022), 110"	8	hort	in-processing	regularisation	
282	"Dino Pedreschi, Salvatore Ruggieri, and Franco Turini. 2009. Measuring discrimination in socially-sensitive decision records. In Proceedings of the SIAM International Conference on Data Mining. SIAM, 581–592."	244	hort	post-processing	output	confidence
283	"Dino Pedreshi, Salvatore Ruggieri, and Franco Turini. 2008. Discrimination-aware data mining. In Proceedings of the 14th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. 560–568"	912	hort			
284	"Sikha Pentyala, Nicola Neophytou, Anderson Nascimento, Martine De Cock, and Golnoosh Farnadi. 2022. PrivFairFL: Privacy-preserving group fairness in federated learning. arXiv preprint arXiv:2205.11584 (2022)."	24	hort	post-processing	output	group_dependent
285	"Adrián Pérez-Suay, Valero Laparra, Gonzalo Mateo-García, Jordi Muñoz-Marí, Luis Gómez-Chova, and Gustau Camps-Valls. 2017. Fair kernel learning. In Proceedings of the Joint European Conference on Machine Learning and Knowledge Discovery in Databases. Springer, 339–355"	104	hort	in-processing	regularisation	dim_reduction
286	"Valerio Perrone, Michele Donini, Muhammad Bilal Zafar, Robin Schmucker, Krishnaram Kenthapadi, and Cédric Archambeau. 2021. Fair Bayesian optimization. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 854–863"	89	hort	in-processing	adjusted	hyperparameters_tuning
287	Dana Pessach and Erez Shmueli. 2020. Algorithmic fairness. arXiv preprint arXiv:2001.09784 (2020).	256	hort			
288	"Dana Pessach and Erez Shmueli. 2022. A review on fairness in machine learning. ACM Comput. Surv. 55, 3 (2022), 1–44."	491	hort			
289	"Andrija Petrović, Mladen Nikolić, Sandro Radovanović, Boris Delibašić, and Miloš Jovanović. 2022. FAIR: Fair adversarial instance re-weighting. Neurocomputing 476 (2022), 14–37."	35	hort	in-processing	adversarial	
290	"Andrija Petrović, Mladen Nikolić, Miloš Jovanović, Miloš Bijanić, and Boris Delibašić. 2021. Fair classification via Monte Carlo policy gradient method. Eng. Applic. Artif. Intell. 104 (2021), 104398"	11	hort	in-processing	constraints	
291	"Geoff Pleiss, Manish Raghavan, Felix Wu, Jon Kleinberg, and Kilian Q. Weinberger. 2017. On fairness and calibration. In Proceedings of the International Conference on Advances in Neural Information Processing Systems. 5680–5689"	1059	hort	post-processing	classifier	split_clf
292	"Tao Qi, Fangzhao Wu, Chuhan Wu, Lingjuan Lyu, Tong Xu, Zhongliang Yang, Yongfeng Huang, and Xing Xie. 2022. FairVFL: A fair vertical federated learning framework with contrastive adversarial learning. arXiv preprint arXiv:2206.03200 (2022"	38	hort	pre-processing	representation	adversarial
293	"Shangshu Qian, Viet Hung Pham, Thibaud Lutellier, Zeou Hu, Jungwon Kim, Lin Tan, Yaoliang Yu, Jiahao Chen, and Sameena Shah. 2021. Are my deep learning systems fair? An empirical study of fixed-seed training. Adv. Neural Inf. Process. Syst. 34 (2021), 30211–30227"	47	hort			
294	"Novi Quadrianto and Viktoriia Sharmanska. 2017. Recycling privileged learning and distribution matching for fairness. Adv. Neural Inf. Process. Syst. 30 (2017), 677–688"	112	hort	in-processing	constraints	
295	"Novi Quadrianto, Viktoriia Sharmanska, and Oliver Thomas. 2018. Neural styling for interpretable fair representations. arXiv preprint arXiv:1810.06755 (2018)."	6	hort	pre-processing	representation	transfer
296	"Novi Quadrianto, Viktoriia Sharmanska, and Oliver Thomas. 2019. Discovering fair representations in the data domain. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition. 8227"	165	hort	pre-processing	representation	transfer
297	"Edward Raff and Jared Sylvester. 2018. Gradient reversal against discrimination: A fair neural network learning approach. In Proceedings of the IEEE 5th International Conference on Data Science and Advanced Analytics (DSAA’18). IEEE, 189–198."	46	hort	in-processing	adjusted	nn
298	"Edward Raff, Jared Sylvester, and Steven Mills. 2018. Fair forests: Regularized tree induction to minimize model bias. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 243–250."	87	hort	in-processing	regularisation	
299	"Amirarsalan Rajabi and Ozlem Ozmen Garibay. 2022. TabFairGan: Fair tabular data generation with generative adversarial networks. Mach. Learn. Knowl. Extract. 4, 2 (2022), 488–501"	65	hort	pre-processing	sampling	generative
300	"Francesco Ranzato, Caterina Urban, and Marco Zanella. 2021. Fairness-aware training of decision trees by abstract interpretation. In Proceedings of the 30th ACM International Conference on Information & Knowledge Management. 1508–1517"	18	hort	in-processing	compositionnal	ensemble
301	"Miriam Rateike, Ayan Majumdar, Olga Mineeva, Krishna P. Gummadi, and Isabel Valera. 2022. Don’t throw it away! The utility of unlabeled data in fair decision making. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency. 1421–1433."	11	hort	in-processing	adjusted	vaes
302	"Srinivasan Ravichandran, Drona Khurana, Bharath Venkatesh, and Narayanan Unny Edakunni. 2020. FairXGBoost: Fairness-aware classification in XGBoost. arXiv preprint arXiv:2009.01442 (2020"	13	hort	in-processing	regularisation	
303	"Michael Redmond and Alok Baveja. 2002. A data-driven software tool for enabling cooperative information sharing among police departments. Eur. J. Oper. Res. 141, 3 (2002), 660–678"	301	hort			
304	"Ashkan Rezaei, Rizal Fathony, Omid Memarrast, and Brian Ziebart. 2020. Fairness for robust log loss classification. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 34. 5511–5518"	74	hort	in-processing	adversarial	
305	"Ashkan Rezaei, Anqi Liu, Omid Memarrast, and Brian D. Ziebart. 2021. Robust fairness under covariate shift. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 35. 9419–9427"	95	hort	in-processing	adversarial	
306	"Goce Ristanoski, Wei Liu, and James Bailey. 2013. Discrimination aware classification for imbalanced datasets. In Proceedings of the 22nd ACM International Conference on Information & Knowledge Management. 1529–1532"	47	hort	in-processing	regularisation	
307	"Yuji Roh, Kangwook Lee, Steven Whang, and Changho Suh. 2020. FR-Train: A mutual information-based approach to fair and robust training. In Proceedings of the International Conference on Machine Learning. PMLR, 8147–8157"	96	hort	in-processing	adversarial	
308	"Yuji Roh, Kangwook Lee, Steven Euijong Whang, and Changho Suh. 2021. FairBatch: Batch selection for model fairness. In Proceedings of the 9th International Conference on Learning Representations (ICLR’21)."	144	hort	in-processing	adjusted	lr
309	"Yuji Roh, Kangwook Lee, Steven Euijong Whang, and Changho Suh. 2021. Sample selection for fair and robust training. In Proceedings of the 35th Conference on Neural Information Processing Systems"	71	hort	pre-processing	sampling	downsampling
310	"Yaniv Romano, Stephen Bates, and Emmanuel Candes. 2020. Achieving equalized odds by resampling sensitive attributes. Adv. Neural Inf. Process. Syst. 33 (2020), 361–371"	48	hort	in-processing	regularisation	
311	"Andrea Romei and Salvatore Ruggieri. 2014. A multidisciplinary survey on discrimination analysis. The Knowledge Engineering Review29, 5 (2014), 582–638"	380	hort			
312	"Arjun Roy, Vasileios Iosifidis, and Eirini Ntoutsi. 2022. Multi-fair Pareto boosting. In Proceedings of the International Conference on Discovery Science. Springer"	9	hort	in-processing	adjusted	boosting
313	Arjun Roy and Eirini Ntoutsi. 2022. Learning to teach fairness-aware deep multi-task learning. In Proceedings of the European Conference on Machine Learning and Knowledge Discovery in Databases	11	hort	in-processing	adjusted	
314	"Anian Ruoss, Mislav Balunovic, Marc Fischer, and Martin Vechev. 2020. Learning certified individually fair representations. Adv. Neural Inf. Process. Syst. 33 (2020), 7584–7596"	101	hort	pre-processing	representation	adversarial
315	"Chris Russell, M. Kusner, C. Loftus, and Ricardo Silva. 2017. When worlds collide: Integrating different counterfactual assumptions in fairness. In Proceedings of the International Conference on Advances in Neural Information Processing Systems, Vol. 30. NIPS Proceedings"	215	hort	in-processing	constraints	
316	"Bashir Sadeghi, Runyi Yu, and Vishnu Boddeti. 2019. On the global optima of kernelized adversarial representation learning. In Proceedings of the IEEE/CVF International Conference on Computer Vision. 7971–7979"	36	hort	in-processing	adversarial	nn
317	"Ricardo Salazar, Felix Neutatz, and Ziawasch Abedjan. 2021. Automated feature engineering for algorithmic fairness. Proc. VLDB Endow. 14, 9 (2021), 1694–1702."	36	hort	pre-processing	representation	addition_features
318	"Teresa Salazar, Miriam Seoane Santos, Helder Araújo, and Pedro Henriques Abreu. 2021. Fawos: Fairness-awareoversampling algorithm based on distributions of sensitive attributes. IEEE Access 9 (2021), 81370–81379"	24	hort	pre-processing	sampling	smote_like
319	"Babak Salimi, Luke Rodriguez, Bill Howe, and Dan Suciu. 2019. Interventional fairness: Causal database repair for algorithmic fairness. In Proceedings of the International Conference on Management of Data. 793–810"	215	hort	pre-processing	sampling	downsampling
320	"Samira Samadi, Uthaipon Tantipongpipat, Jamie H. Morgenstern, Mohit Singh, and Santosh Vempala. 2018. The price of fair PCA: One extra dimension. In Proceedings of the International Conference on Advances in Neural Information Processing Systems. 10976–10987"	175	hort	pre-processing	representation	dim_reduction
321	"Mhd Hasan Sarhan, Nassir Navab, Abouzar Eslami, and Shadi Albarqouni. 2020. Fairness by learning orthogonal disentangled representations. In Proceedings of the European Conference on Computer Vision. Springer, 746–761"	98	hort	pre-processing	representation	
322	Federica Sarro. 2023. Search-based software engineering in the era of modern software systems. In Proceedings of the 31st IEEE International Requirements Engineering Conference	12	hort			
323	"Yash Savani, Colin White, and Naveen Sundar Govindarajulu. 2020. Intra-processing methods for debiasing neural networks. Adv. Neural Inf. Process. Syst. 33 (2020), 2798–2810."	55	hort	post-processing	classifier	nn
324	"Nicolas Schreuder and Evgenii Chzhen. 2021. Classification with abstention but without disparities. In Uncertainty in Artificial Intelligence. PMLR, 1227–1236"	32	hort	post-processing	classifier	
325	"Marco Scutari, Francesca Panero, and Manuel Proissl. 2021. Achieving fairness with a simple ridge penalty. arXiv preprint arXiv:2105.13817 (2021"	15	hort	in-processing	constraints	
326	"Emel Seker, John R. Talburt, and Melody L. Greer. 2022. Preprocessing to address bias in healthcare data. Stud. Health Technol. Inform. 294 (2022), 327–331"	17	hort	pre-processing	relabelling	
327	"Shubham Sharma, Alan H. Gee, David Paydarfar, and Joydeep Ghosh. 2021. FaiR-N: Fair and robust neural networks for structured data. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society (AIES’21). Association for Computing Machinery, New York, NY, 946955"	22	hort	in-processing	adjusted	
328	"Shubham Sharma, Yunfeng Zhang, Jesús M. Ríos Aliaga, Djallel Bouneffouf, Vinod Muthusamy, and Kush R. Varshney. 2020. Data augmentation for discrimination prevention and bias disambiguation. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 358–364"	108	hort	pre-processing	sampling	generative
329	Martin B. Short and George O. Mohler. 2022. A fully Bayesian tracking algorithm for mitigating disparate prediction misclassification. Int. J. Forecast. (2022	6	hort	in-processing	adjusted	
330	"Changjian Shui, Qi Chen, Jiaqi Li, Boyu Wang, and Christian Gagné. 2022. Fair representation learning through implicit path alignment. arXiv preprint arXiv:2205.13316"	22	hort	pre-processing	representation	optimisation
331	"Sandipan Sikdar, Florian Lemmerich, and Markus Strohmaier. 2022. GetFair: Generalized fairness tuning of classification models. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency"	16	hort	in-processing	adjusted	
332	"Arashdeep Singh, Jashandeep Singh, Ariba Khan, and Amar Gupta. 2022. Developing a novel fair-loan classifier through a multi-sensitive debiasing pipeline: DualFair. Mach. Learn. Knowl. Extract. 4, 1 (2022), 240–253"	14	hort	pre-processing	sampling	smote_like
333	Agnieszka Słowik and Léon Bottou. 2021. Algorithmic bias and data bias: Understanding the relation between distributionally robust optimization and data curation. arXiv preprint arXiv:2106.09467 (2021	25	hort	in-processing	constraints	
334	P. Snel and S. van Otterloo. 2022. Practical bias correction in neural networks: A credit default prediction case study. Comput. Societ. Res. J.3 (2022	4	hort	post-processing	output	
335	"Jiaming Song, Pratyusha Kalluri, Aditya Grover, Shengjia Zhao, and Stefano Ermon. 2019. Learning controllable fair representations. In Proceedings of the 22nd International Conference on Artificial Intelligence and Statistics. PMLR, 2164–2173."	207	hort	pre-processing	representation	optimisation
336	"Ezekiel Soremekun, Mike Papadakis, Maxime Cordy, and Yves Le Traon. 2022. Software fairness: An analysis and survey. arXiv preprint arXiv:2205.08809 (2022"	18	hort			
337	"Haipei Sun, Kun Wu, Ting Wang, and Wendy Hui Wang. 2022. Towards fair and robust classification. In Proceedings of the IEEE 7th European Symposium on Security and Privacy (EuroS&P’22). IEEE, 356–376."	13	hort	in-processing	regularisation	
338	"Tony Sun, Andrew Gaut, Shirlyn Tang, Yuxin Huang, Mai ElSherief, Jieyu Zhao, Diba Mirza, Elizabeth Belding, Kai-Wei Chang, and William Yang Wang. 2019. Mitigating gender bias in natural language processing: Literature review. arXiv preprint arXiv:1906.08976(2019"	692	hort			
339	Supreme Court of the United States. 2009. Ricci v. DeStefanoo. Vol. 557.	X	hort			
340	"Vinith M. Suriyakumar, Marzyeh Ghassemi, and Berk Ustun. 2022. When personalization harms: Reconsidering the use of group attributes in prediction. arXiv preprint arXiv:2206.02058 (2022"	20	hort	in-processing	compositionnal	different_clf
341	"Jared Sylvester and Edward Raff. 2020. Trimming the thorns of AI fairness research. IEEE Data Eng. Bull. 43, 4 (2020), 74–84."	4	hort			
342	"Zilong Tan, Samuel Yeom, Matt Fredrikson, and Ameet Talwalkar. 2020. Learning fair representations for kernel models. In Proceedings of the International Conference on Artificial Intelligence and Statistics. PMLR, 155–166"	38	hort	pre-processing	representation	dim_reduction
343	"Guanhong Tao, Weisong Sun, Tingxu Han, Chunrong Fang, and Xiangyu Zhang. 2022. RULER: Discriminative and iterative adversarial training for deep neural network fairness. In Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE’22)"	22	hort	in-processing	adversarial	
344	Maryam Tavakol. 2020. Fair classification with counterfactual learning. In Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval. 2073–2076	12	hort	in-processing	regularisation	intersectional
345	"Saeid Tizpaz-Niari, Ashish Kumar, Gang Tan, and Ashutosh Trivedi. 2022. Fairness-aware configuration of machine learning libraries. In Proceedings of the 44th International Conference on Software Engineering (ICSE’22). Association for Computing Machinery, 909920"	49	hort	in-processing	adjusted	hyperparameters_tuning
346	"Berk Ustun, Yang Liu, and David Parkes. 2019. Fairness without harm: Decoupled classifiers with preference guarantees. In Proceedings of the International Conference on Machine Learning. PMLR, 6373–6382"	149	hort	in-processing	compositionnal	transfer
347	"Ana Valdivia, Javier Sánchez-Monedero, and Jorge Casillas. 2021. How fair can we go in machine learning? Assessing the boundaries of accuracy and fairness. Int. J. Intell. Syst. 36, 4 (2021), 1619–1643."	62	hort	in-processing	adjusted	hyperparameters_tuning
348	"Benjamin van Giffen, Dennis Herhausen, and Tobias Fahse. 2022. Overcoming the pitfalls and perils of algorithms: A classification of machine learning biases and mitigation methods. J. Bus. Res. 144 (2022), 93–106."	160	hort			
349	"Sahil Verma, Michael Ernst, and Rene Just. 2021. Removing biased data to improve fairness and accuracy. arXiv preprint arXiv:2102.03054 (2021)."	28	hort	pre-processing	sampling	downsampling
350	"Sahil Verma and Julia Rubin. 2018. Fairness definitions explained. In Proceedings of the IEEE/ACM International Workshop on Software Fairness (FairWare’18). IEEE, 1–7"	1410	hort			
351	"Christina Wadsworth, Francesca Vera, and Chris Piech. 2018. Achieving fairness through adversarial learning: An application to recidivism prediction. arXiv preprint arXiv:1807.00199 (2018"	214	hort	in-processing	adversarial	
352	"Mingyang Wan, Daochen Zha, Ninghao Liu, and Na Zou. 2022. In-processing modeling techniques for machine learning fairness: A survey. ACM Trans. Knowl. Discov. Data (Jul.2022). DOI:"	122	hort			
353	"Guanchu Wang, Mengnan Du, Ninghao Liu, Na Zou, and Xia Hu. 2022. Mitigating algorithmic bias with limited annotations. arXiv preprint arXiv:2207.10018 (2022)."	8	hort	in-processing	adjusted	
354	"Hao Wang, Berk Ustun, and Flavio Calmon. 2019. Repairing without retraining: Avoiding disparate impact with counterfactual distributions. In Proceedings of the International Conference on Machine Learning. PMLR, 6618–6627"	91	hort	pre-processing	relabelling	perturbation
355	"Hao Wang, Berk Ustun, and Flavio P. Calmon. 2018. Avoiding disparate impact with counterfactual distributions. In Proceedings of the NeurIPS Workshop on Ethical, Social and Governance Issues in AI."	91	hort	pre-processing	relabelling	perturbation
356	"Jingbo Wang, Yannan Li, and Chao Wang. 2022. Synthesizing fair decision trees via iterative constraint solving. In Proceedings of the International Conference on Computer Aided Verification. Springer, 364–385."	15	hort	in-processing	constraints	decision_tree
357	"Jialu Wang, Yang Liu, and Caleb Levy. 2021. Fair classification with group-dependent label noise. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency. 526–536"	115	hort	in-processing	adjusted	
358	"Jialu Wang, Xin Eric Wang, and Yang Liu. 2022. Understanding instance-level impact of fairness constraints. In Proceedings of the 39th International Conference on Machine Learning(Proceedings of Machine Learning Research, Vol. 162), Kamalika Chaudhuri, Stefanie Jegelka, Le Song, Csaba Szepesvari, Gang Niu, and Sivan Sabato (Eds.). PMLR, 23114–23130. Retrieved from https://proceedings.mlr.press/v162/wang22ac.html"	33	hort	pre-processing	sampling	downsampling
359	"Serena Wang, Wenshuo Guo, Harikrishna Narasimhan, Andrew Cotter, Maya Gupta, and Michael Jordan. 2020. Robust optimization for fairness with noisy protected groups. Adv. Neural Inf. Process. Syst. 33 (2020), 5190–5203"	139	hort	in-processing	constraints	
360	Xiaoqian Wang and Heng Huang. 2019. Approaching machine learning fairness through adversarial network. arXiv preprint arXiv:1909.03013 (2019).	11	hort	pre-processing	representation	removal_features
361	"Yuyan Wang, Xuezhi Wang, Alex Beutel, Flavien Prost, Jilin Chen, and Ed H. Chi. 2021. Understanding and improving fairness-accuracy trade-offs in multi-task learning. In Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery & Data Mining. 1748–1757"	50	hort	in-processing	regularisation	
362	"Dennis Wei, Karthikeyan Natesan Ramamurthy, and Flavio du Pin Calmon. 2020. Optimized score transformation for fair classification. Proc. Mach. Learn. Res. 108 (2020"	49	hort	post-processing	output	latent_groupmembership
363	"Michael Wick, Swetasudha Panda, and Jean-Baptiste Tristan. 2019. Unlocking fairness: A trade-off revisited. In Proceedings of the NeurIPS Conference"	171	hort	in-processing	constraints	
364	Linda F. Wightman. 1998. LSAC national longitudinal bar passage study. LSAC research report series. (1998).	302	hort			
365	Claes Wohlin. 2014. Guidelines for snowballing in systematic literature studies and a replication in software engineering. In Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering. 1–10.	5248	hort			
366	"Blake Woodworth, Suriya Gunasekar, Mesrob I. Ohannessian, and Nathan Srebro. 2017. Learning non-discriminatory predictors. In Proceedings of the Conference on Learning Theory. PMLR, 1920–1953."	448	hort	post-processing	classifier	equal_odds
367	"Chuhan Wu, Fangzhao Wu, Tao Qi, and Yongfeng Huang. 2022. Semi-FairVAE: Semi-supervised fair representation learning with adversarial variational autoencoder. arXiv preprint arXiv:2204.00536 (2022"	5	hort	pre-processing	representation	adversarial_alone
368	"Songhua Wu, Mingming Gong, Bo Han, Yang Liu, and Tongliang Liu. 2022. Fair classification with instance-dependent label noise. In Proceedings of the Conference on Causal Learning and Reasoning. PMLR, 927–943."	30	hort	in-processing	constraints	
369	"Yongkai Wu, Lu Zhang, and Xintao Wu. 2018. Fairness-aware classification: Criterion, convexity, and bounds. arXiv preprint arXiv:1809.04737 (2018)."	24	hort	in-processing	constraints	
370	"Ziwei Wu and Jingrui He. 2022. Fairness-aware model-agnostic positive and unlabeled learning. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency (FAccT’22). Association for Computing Machinery, New York, NY, 16981708. DOI:"	15	hort	post-processing	classifier	
371	"Qizhe Xie, Zihang Dai, Yulun Du, Eduard Hovy, and Graham Neubig. 2017. Controllable invariance through adversarial feature learning. Adv. Neural Inf. Process. Syst. 30 (2017)."	307	hort	pre-processing	representation	adversarial
